lexid,vin,state
8888090530,3GYVKMEF3AG838180,KS
8888090531,2C3CCAJG0DH720555,IN
8888090532,2T1KE4EE0BC703497,KS
8888090533,KMHGC4DE5BU857408,TX
8888090534,JN8AZ2NC4C9893335,OH
8888090535,JTDKDTB36E1229726,VA
8888090536,JH4NA12674T701521,IN
8888090537,1GYFK66827R896810,CA
8888090538,1GD312CG9BF282472,TX
8888090539,WVGAV7AX9CW360861,NC
8888090540,WAUGGBFC0CN798415,CO
8888090541,3C4PDCEG0FT797453,OH
8888090542,JM1NC2MF5E0717301,TN
8888090543,YV4902DZ5D2370282,GA
8888090544,WBAVC53597A357471,MN
8888090545,3D7JB1EP6BG605106,SC
8888090546,3VWKP7AJ3EM601232,TX
8888090547,1D4PT4GK3AW926589,TX
8888090548,WAUGGBFC2CN633644,NV
8888090549,1GYEC63T34R651205,VA
8888090550,WAU3GAFC1DN013023,KY
8888090551,JTMHY7AJ4F4041129,CA
8888090552,1ZVBP8AM0C5784057,NY
8888090553,WBAFR9C5XCC790113,CO
8888090554,YV1902AH4D1995996,CA
8888090555,WVWED7AJXDW098323,SC
8888090556,2G4WC562951745103,NY
8888090557,JTHBK1EG8C2935921,DC
8888090558,WVWED7AJ3CW823193,TX
8888090559,WA1VFBFL4EA852994,CA
8888090560,2C4JRGAG7ER373208,OH
8888090561,WAU3VAFR5CA685246,MO
8888090562,4T1BK1EB6FU512300,PA
8888090563,WBAYF8C56FD640302,NC
8888090564,5UXFE43548L864214,UT
8888090565,2C3CCASG3FH089897,IN
8888090566,WAUMGAFL4EA125148,TX
8888090567,2G4GR5ER5D9277887,VA
8888090568,2V4RW3DG4BR302730,MD
8888090569,WVWGU7AN2BE819278,OR
8888090570,WBAKX6C58CC497152,LA
8888090571,JN1CV6EK4AM177255,NC
8888090572,JH4CU26649C053867,WV
8888090573,WAUKH98E68A235320,CA
8888090574,1G6AR5SXXE0856837,AK
8888090575,SCBLC47J88C374475,MD
8888090576,1GYS4LKJ0FR706677,OH
8888090577,SCFHDDAJ4CA795625,VA
8888090578,1GYFC56229R871766,NC
8888090579,WAUCFAFH8FN302904,GA
8888090580,WBALW3C50FC033721,OH
8888090581,WP0AA2A97DS352626,GA
8888090582,WAUHFAFL6FN822271,CA
8888090583,WBANF73587C186347,TN
8888090584,3D73M4CLXAG384449,AL
8888090585,3N1AB7AP3FY594779,WI
8888090586,WVWAN7AN1EE393977,FL
8888090587,2G4WS52J611907196,VA
8888090588,WAUGFAFC2FN262339,CA
8888090589,1GYS3BEF2BR959692,CA
8888090590,2G4GR5EC2B9020954,WI
8888090591,WAULT68E75A212643,MN
8888090592,JTHBB1BA7A2145376,NM
8888090593,1N6AD0CU0EN294370,CA
8888090594,2LMDJ6JK9CB209600,TX
8888090595,KNAGM4A71B5200393,TN
8888090596,WBA3V9C51F5913336,CA
8888090597,1FADP5AUXDL831432,CA
8888090598,WAUVT58E65A663212,MO
8888090599,1G6DK5EV7A0902159,AZ
8888090600,1D4RD4GG7BC843509,CA
8888090601,ZFBCFABH4EZ057666,TX
8888090602,YV4952CY2C1248221,FL
8888090603,WBA3D5C57EK231248,AZ
8888090604,JN8AZ1MU6CW223341,CA
8888090605,2T3BFREV0DW559727,TX
8888090606,1G6AA1RX5F0248201,NY
8888090607,WBAKG1C50DJ722521,CO
8888090608,5NPDH4AE8FH324806,CA
8888090609,1G6AL1R34F0228125,LA
8888090610,1C4RDJAG2CC272257,OH
8888090611,WBA3B5G55DN078110,IL
8888090612,WBA4A7C55FG410000,CT
8888090613,WBA5M2C57ED968459,CO
8888090614,5N1AZ2MG5FN034570,DC
8888090615,WAUVVAFRXBA471053,WA
8888090616,WUARL48H96K053327,UT
8888090617,1FTEX1CM4DK022869,CT
8888090618,WBA6B8C54FD770839,TX
8888090619,5N1AZ2MG8FN109004,CA
8888090620,WBADR63452G694104,MN
8888090621,WAULFAFH5BN124430,MO
8888090622,WAUAF78E15A798860,DC
8888090623,JTHBE1BL8F1842433,NY
8888090624,JTEBU5JR4A5973101,CA
8888090625,KMHHT6KDXAU019531,CA
8888090626,WAUUL78E05A766097,IN
8888090627,SALVP2BG6FH846630,LA
8888090628,2G4WS52J111205920,WA
8888090629,WDDGF4HB2CF362767,IN
8888090630,1GKS1KE04DR268274,CA
8888090631,WBAKB0C59CC354190,PA
8888090632,1FMJU1K57AE021772,CA
8888090633,2C3CDXCT7EH885353,IA
8888090634,WVWAP7AN4DE521184,MI
8888090635,JH4CU2E80DC628235,CO
8888090636,2C3CDXL91FH101822,TX
8888090637,WAUVC58EX5A396723,ID
8888090638,SCBCR63W46C118987,CA
8888090639,1GT3C0BGXAF377531,OK
8888090640,JTHBE5C25B5927651,KY
8888090641,3VW467AT8DM220312,CA
8888090642,3C6TD5ET1CG775013,AL
8888090643,2G4GR5EC7B9659041,MI
8888090644,WBAEU33434P732708,MO
8888090645,3N1AB7AP5FY803990,FL
8888090646,WAUMF98P56A700764,IN
8888090647,2T1BPRHE7EC829878,NY
8888090648,5FPYK1F27CB877206,DC
8888090649,WBA3T1C5XFP283621,WI
8888090650,SCBFU7ZA1DC635903,IL
8888090651,1D4PU7GX1AW574736,VA
8888090652,4F2CY0C75BK150952,IL
8888090653,WA1AY74LX9D040631,DC
8888090654,KMHGH4JH4FU672417,OH
8888090655,1D4PT2GK8BW052648,AZ
8888090656,1N4AL2AP9BN910390,CA
8888090657,WBASP4C50CC273121,CA
8888090658,1G4CU541354836589,TX
8888090659,TRUDD38J191347922,TX
8888090660,1N6AA0CC1CN160948,NY
8888090661,KNAFU5A29C5741053,OH
8888090662,1FTEW1CM3CF751018,TX
8888090663,3FA6P0PU5FR818725,IL
8888090664,KM8NU4CCXBU655281,IN
8888090665,WA1YD64B23N066086,NC
8888090666,SCFBB04B97G066192,AZ
8888090667,WA1WMAFE5ED284422,AL
8888090668,1FBNE3BL1ED800775,KS
8888090669,WBANV93539C377062,NC
8888090670,3N6CM0KN1EK914569,NC
8888090671,3GYFNAEY3AS698723,FL
8888090672,WAULF78K29N685383,FL
8888090673,KMHHT6KDXEU031216,TN
8888090674,2C3CK6CT5AH660259,TX
8888090675,SCFBB04B38G851809,PA
